condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
rt,SCHED_FIFO,50,20260808,148,48.6017,48.6312,48.6065,0.0065,16.979404,17.028010
rt,SCHED_FIFO,50,20260808,149,34.6355,34.6442,34.6358,0.0026,17.051102,17.085738
rt,SCHED_FIFO,50,20260808,150,11.3230,11.3425,11.3318,0.0120,17.101807,17.113139
rt,SCHED_FIFO,50,20260808,151,8.3851,8.4053,8.3998,0.0180,17.153362,17.161762
rt,SCHED_FIFO,50,20260808,152,34.1705,34.1987,34.1665,-0.0017,17.249854,17.284021
rt,SCHED_FIFO,50,20260808,153,17.2162,17.2233,17.1998,-0.0134,17.304106,17.321306
rt,SCHED_FIFO,50,20260808,154,28.8474,28.8622,28.8553,0.0104,17.334370,17.363226
rt,SCHED_FIFO,50,20260808,155,7.0995,7.1215,7.1842,0.0881,17.423296,17.430480
rt,SCHED_FIFO,50,20260808,156,34.9617,34.9870,34.9547,-0.0048,17.493514,17.528469
rt,SCHED_FIFO,50,20260808,157,23.6608,23.6830,23.6451,-0.0131,17.623597,17.647242
rt,SCHED_FIFO,50,20260808,158,39.5024,39.5302,39.4989,-0.0015,17.666321,17.705820
rt,SCHED_FIFO,50,20260808,159,33.9218,33.9501,33.9086,-0.0110,17.780951,17.814859
rt,SCHED_FIFO,50,20260808,160,19.2344,19.2396,19.2241,-0.0074,17.901146,17.920370
rt,SCHED_FIFO,50,20260808,161,27.5163,27.5382,27.5093,-0.0045,17.989497,18.017006
rt,SCHED_FIFO,50,20260808,162,20.9369,20.9572,20.9281,-0.0060,18.042102,18.063030
rt,SCHED_FIFO,50,20260808,163,46.5081,46.5353,46.4998,-0.0065,18.082106,18.128606
rt,SCHED_FIFO,50,20260808,164,49.1266,49.1367,49.1269,0.0019,18.170690,18.219817
rt,SCHED_FIFO,50,20260808,165,12.2269,12.2412,12.2181,-0.0056,18.240886,18.253104
rt,SCHED_FIFO,50,20260808,166,19.8533,19.8750,19.8611,0.0106,18.267158,18.287019
rt,SCHED_FIFO,50,20260808,167,43.2302,43.2423,43.2147,-0.0136,18.377102,18.420317
rt,SCHED_FIFO,50,20260808,168,38.9080,38.9348,38.8692,-0.0367,18.442454,18.481323
rt,SCHED_FIFO,50,20260808,169,26.3595,26.3962,26.3492,-0.0078,18.572443,18.598793
rt,SCHED_FIFO,50,20260808,170,48.9870,49.0129,48.9766,-0.0088,18.634912,18.683889
rt,SCHED_FIFO,50,20260808,171,16.2572,16.2679,16.2395,-0.0148,18.736994,18.753233
rt,SCHED_FIFO,50,20260808,172,9.9634,9.9677,9.9431,-0.0171,18.777303,18.787246
rt,SCHED_FIFO,50,20260808,173,37.6243,37.6484,37.6206,-0.0015,18.844322,18.881943
rt,SCHED_FIFO,50,20260808,174,7.5579,7.5618,7.5444,-0.0102,18.930050,18.937594
rt,SCHED_FIFO,50,20260808,175,12.0800,12.0860,12.0659,-0.0110,18.953648,18.965714
rt,SCHED_FIFO,50,20260808,176,49.1478,49.1751,49.1462,0.0000,19.028803,19.077949
rt,SCHED_FIFO,50,20260808,177,29.1773,29.1992,29.1639,-0.0109,19.152065,19.181228
