condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,103,13.3308,13.3536,13.3175,-0.7554,13.506746,13.520064
load,SCHED_OTHER,0,20260808,104,13.0788,13.1004,13.0751,-0.7456,13.571274,13.584349
load,SCHED_OTHER,0,20260808,105,49.1020,49.2909,49.2672,-0.6162,13.669575,13.718842
load,SCHED_OTHER,0,20260808,106,5.7318,5.7363,5.7033,-0.7623,13.757031,13.762735
load,SCHED_OTHER,0,20260808,107,20.3284,22.8666,22.8313,1.7531,13.857050,13.879881
load,SCHED_OTHER,0,20260808,108,20.6942,20.7163,20.6841,-0.7603,13.980125,14.000809
load,SCHED_OTHER,0,20260808,109,36.9428,38.8941,38.8161,1.1053,14.036038,14.074854
load,SCHED_OTHER,0,20260808,110,41.6102,42.8494,42.8285,0.4451,14.144034,14.186862
load,SCHED_OTHER,0,20260808,111,40.2388,42.8522,42.8297,1.8193,14.223028,14.265858
load,SCHED_OTHER,0,20260808,112,20.9680,21.8265,21.8038,0.0853,14.287046,14.308850
load,SCHED_OTHER,0,20260808,113,34.5855,34.8703,34.8097,-0.5413,14.323034,14.357844
load,SCHED_OTHER,0,20260808,114,33.6797,35.8452,35.8142,1.3700,14.391022,14.426836
load,SCHED_OTHER,0,20260808,115,5.7779,5.7815,5.7659,-0.7458,14.464026,14.469791
load,SCHED_OTHER,0,20260808,116,31.2096,33.9329,33.8968,1.9255,14.539929,14.573826
load,SCHED_OTHER,0,20260808,117,43.1157,43.1251,43.0917,-0.7988,14.585016,14.628108
load,SCHED_OTHER,0,20260808,118,15.2622,17.4440,17.3982,1.3918,14.726431,14.743829
load,SCHED_OTHER,0,20260808,119,34.3469,35.8134,35.7766,0.6645,14.798042,14.833818
load,SCHED_OTHER,0,20260808,120,20.6264,20.6327,20.6157,-0.7608,14.916023,14.936638
load,SCHED_OTHER,0,20260808,121,37.2971,38.0023,37.9802,-0.0853,15.008841,15.046821
load,SCHED_OTHER,0,20260808,122,29.4873,29.5031,29.4702,-0.7769,15.098010,15.127480
load,SCHED_OTHER,0,20260808,123,15.4408,15.4612,15.4598,-0.7254,15.168643,15.184103
load,SCHED_OTHER,0,20260808,124,38.9886,40.1347,40.1218,0.3629,15.197327,15.237449
load,SCHED_OTHER,0,20260808,125,18.3119,18.3273,18.3091,-0.7503,15.265605,15.283914
load,SCHED_OTHER,0,20260808,126,28.3108,28.3390,28.3033,-0.7661,15.374225,15.402529
load,SCHED_OTHER,0,20260808,127,36.9680,39.0478,39.0044,1.2683,15.473814,15.512818
load,SCHED_OTHER,0,20260808,128,15.4474,16.8192,16.8039,0.6120,15.528010,15.544814
load,SCHED_OTHER,0,20260808,129,28.6360,28.8550,28.8202,-0.5747,15.561002,15.589822
load,SCHED_OTHER,0,20260808,130,29.0540,29.0629,29.0206,-0.7927,15.624003,15.653023
load,SCHED_OTHER,0,20260808,131,7.0346,7.0546,7.0278,-0.7420,15.727254,15.734282
load,SCHED_OTHER,0,20260808,132,27.9469,27.9711,27.9250,-0.7801,15.783474,15.811399
load,SCHED_OTHER,0,20260808,133,41.6711,41.7004,41.6877,-0.7566,15.834810,15.876498
load,SCHED_OTHER,0,20260808,134,10.4320,11.1681,11.1427,-0.0282,15.896667,15.907809
load,SCHED_OTHER,0,20260808,135,20.4351,22.8914,22.8495,1.6645,15.960998,15.983848
load,SCHED_OTHER,0,20260808,136,10.5637,11.7755,11.7469,0.4441,16.076062,16.087809
load,SCHED_OTHER,0,20260808,137,42.1920,42.2126,42.1740,-0.7918,16.179114,16.221288
load,SCHED_OTHER,0,20260808,138,36.5418,36.5682,36.4831,-0.8262,16.278003,16.314486
load,SCHED_OTHER,0,20260808,139,30.9943,31.0228,30.9921,-0.7637,16.397745,16.428737
load,SCHED_OTHER,0,20260808,140,34.9074,34.9331,34.8949,-0.7783,16.520911,16.555806
load,SCHED_OTHER,0,20260808,141,7.0952,7.0993,7.0784,-0.7520,16.573989,16.581068
load,SCHED_OTHER,0,20260808,142,11.1432,11.5887,11.5610,-0.3219,16.613252,16.624813
load,SCHED_OTHER,0,20260808,143,47.7835,47.7977,47.7654,-0.7980,16.712057,16.759823
load,SCHED_OTHER,0,20260808,144,36.7244,37.7605,37.7432,0.2511,16.833043,16.870786
load,SCHED_OTHER,0,20260808,145,11.2505,11.8407,11.8031,-0.1872,16.897979,16.909782
load,SCHED_OTHER,0,20260808,146,45.8574,45.8863,45.8180,-0.8172,16.930982,16.976800
load,SCHED_OTHER,0,20260808,147,9.7808,11.7567,11.7461,1.2271,17.053047,17.064793
load,SCHED_OTHER,0,20260808,148,48.6017,48.6299,48.6113,-0.7712,17.151002,17.199613
load,SCHED_OTHER,0,20260808,149,34.6355,35.0357,35.0297,-0.3713,17.222752,17.257781
load,SCHED_OTHER,0,20260808,150,11.3230,11.3440,11.2978,-0.7651,17.273971,17.285268
load,SCHED_OTHER,0,20260808,151,8.3851,8.3963,8.3756,-0.7462,17.325510,17.333886
load,SCHED_OTHER,0,20260808,152,34.1705,34.1998,34.1583,-0.7771,17.422139,17.456298
load,SCHED_OTHER,0,20260808,153,17.2162,17.2426,17.2296,-0.7330,17.476467,17.493696
load,SCHED_OTHER,0,20260808,154,28.8474,28.8719,28.8460,-0.7605,17.506890,17.535736
load,SCHED_OTHER,0,20260808,155,7.0995,7.1171,7.0879,-0.7469,17.595891,17.602979
load,SCHED_OTHER,0,20260808,156,34.9617,34.9702,34.9471,-0.7804,17.666183,17.701130
load,SCHED_OTHER,0,20260808,157,23.6608,23.6816,23.6485,-0.7658,17.796630,17.820278
load,SCHED_OTHER,0,20260808,158,39.5024,41.8957,41.8261,1.5528,17.839956,17.881782
load,SCHED_OTHER,0,20260808,159,33.9218,36.8068,36.7848,2.0983,17.956994,17.993779
load,SCHED_OTHER,0,20260808,160,19.2344,19.2553,19.2308,-0.7522,18.080066,18.099297
load,SCHED_OTHER,0,20260808,161,27.5163,29.5649,29.5222,1.2482,18.168497,18.198019
load,SCHED_OTHER,0,20260808,162,20.9369,23.6224,23.6179,1.9305,18.223174,18.246792
load,SCHED_OTHER,0,20260808,163,46.5081,48.8586,48.8286,1.5420,18.265950,18.314778
load,SCHED_OTHER,0,20260808,164,49.1266,49.1360,49.1161,-0.7919,18.356957,18.406073
load,SCHED_OTHER,0,20260808,165,12.2269,12.5510,12.5279,-0.4399,18.427237,18.439765
load,SCHED_OTHER,0,20260808,166,19.8533,22.9147,22.8702,2.2676,18.453946,18.476816
