condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
idle,SCHED_OTHER,0,20260808,122,29.4873,29.5038,29.4596,-0.0246,15.148363,15.177822
idle,SCHED_OTHER,0,20260808,123,15.4408,15.4592,15.4516,0.0118,15.218907,15.234359
idle,SCHED_OTHER,0,20260808,124,38.9886,39.0129,38.9964,0.0123,15.247584,15.286580
idle,SCHED_OTHER,0,20260808,125,18.3119,18.3313,18.3329,0.0225,15.314693,15.333026
idle,SCHED_OTHER,0,20260808,126,28.3108,28.3296,28.3234,0.0155,15.423187,15.451510
idle,SCHED_OTHER,0,20260808,127,36.9680,36.9714,36.9414,-0.0224,15.522707,15.559649
idle,SCHED_OTHER,0,20260808,128,15.4474,15.4663,15.4427,-0.0037,15.574793,15.590236
idle,SCHED_OTHER,0,20260808,129,28.6360,28.6396,28.6198,-0.0133,15.606387,15.635006
idle,SCHED_OTHER,0,20260808,130,29.0540,29.0739,29.0611,0.0101,15.669126,15.698187
idle,SCHED_OTHER,0,20260808,131,7.0346,7.0366,7.0319,-0.0029,15.772389,15.779421
idle,SCHED_OTHER,0,20260808,132,27.9469,27.9602,27.9477,0.0037,15.828559,15.856507
idle,SCHED_OTHER,0,20260808,133,41.6711,41.6870,41.7001,0.0339,15.879641,15.921342
idle,SCHED_OTHER,0,20260808,134,10.4320,10.4383,10.4128,-0.0189,15.941468,15.951881
idle,SCHED_OTHER,0,20260808,135,20.4351,20.4604,20.4267,-0.0066,16.005032,16.025459
idle,SCHED_OTHER,0,20260808,136,10.5637,10.5659,10.5400,-0.0234,16.117654,16.128194
idle,SCHED_OTHER,0,20260808,137,42.1920,42.1966,42.1799,-0.0072,16.219470,16.261650
idle,SCHED_OTHER,0,20260808,138,36.5418,36.5443,36.5259,-0.0118,16.317838,16.354364
idle,SCHED_OTHER,0,20260808,139,30.9943,30.9979,30.9930,0.0020,16.437515,16.468508
idle,SCHED_OTHER,0,20260808,140,34.9074,34.9124,34.8905,-0.0130,16.560689,16.595580
idle,SCHED_OTHER,0,20260808,141,7.0952,7.0975,7.0910,-0.0044,16.613706,16.620797
idle,SCHED_OTHER,0,20260808,142,11.1432,11.1456,11.1299,-0.0129,16.653065,16.664195
idle,SCHED_OTHER,0,20260808,143,47.7835,47.8034,47.7953,0.0175,16.751366,16.799161
idle,SCHED_OTHER,0,20260808,144,36.7244,36.7274,36.7061,-0.0142,16.872373,16.909079
idle,SCHED_OTHER,0,20260808,145,11.2505,11.2699,11.2427,-0.0074,16.936230,16.947473
idle,SCHED_OTHER,0,20260808,146,45.8574,45.8651,45.8415,-0.0104,16.968608,17.014450
idle,SCHED_OTHER,0,20260808,147,9.7808,10.1417,10.1282,0.3477,17.090897,17.101025
idle,SCHED_OTHER,0,20260808,148,48.6017,48.6061,48.5001,-0.0957,17.187323,17.235823
idle,SCHED_OTHER,0,20260808,149,34.6355,34.6412,34.6395,0.0078,17.258951,17.293590
idle,SCHED_OTHER,0,20260808,150,11.3230,11.3418,11.3159,-0.0067,17.309721,17.321037
idle,SCHED_OTHER,0,20260808,151,8.3851,8.3872,8.3392,-0.0458,17.361310,17.369649
idle,SCHED_OTHER,0,20260808,152,34.1705,34.1750,34.1665,-0.0003,17.457811,17.491978
idle,SCHED_OTHER,0,20260808,153,17.2162,17.2362,17.2225,0.0076,17.512096,17.529319
idle,SCHED_OTHER,0,20260808,154,28.8474,28.8509,28.8531,0.0086,17.542457,17.571310
idle,SCHED_OTHER,0,20260808,155,7.0995,7.1182,7.1182,0.0185,17.631421,17.638540
idle,SCHED_OTHER,0,20260808,156,34.9617,34.9701,34.9610,0.0031,17.701688,17.736649
idle,SCHED_OTHER,0,20260808,157,23.6608,23.6644,23.6551,-0.0034,17.831810,17.855465
idle,SCHED_OTHER,0,20260808,158,39.5024,39.5124,39.5013,0.0035,17.874578,17.914080
idle,SCHED_OTHER,0,20260808,159,33.9218,33.9262,33.8909,-0.0271,17.989310,18.023201
idle,SCHED_OTHER,0,20260808,160,19.2344,19.2534,19.2459,0.0131,18.109469,18.128714
idle,SCHED_OTHER,0,20260808,161,27.5163,27.5190,27.5279,0.0144,18.197839,18.225367
idle,SCHED_OTHER,0,20260808,162,20.9369,20.9621,20.9495,0.0144,18.250474,18.271423
idle,SCHED_OTHER,0,20260808,163,46.5081,46.5278,46.5086,0.0061,18.290577,18.337086
idle,SCHED_OTHER,0,20260808,164,49.1266,49.1456,49.1235,0.0029,18.379215,18.428338
idle,SCHED_OTHER,0,20260808,165,12.2269,12.2452,12.2476,0.0213,18.449449,18.461697
idle,SCHED_OTHER,0,20260808,166,19.8533,19.8576,19.8361,-0.0155,18.475805,18.495641
idle,SCHED_OTHER,0,20260808,167,43.2302,43.2425,43.2229,-0.0022,18.585802,18.629025
idle,SCHED_OTHER,0,20260808,168,38.9080,38.9168,38.8880,-0.0155,18.651183,18.690071
idle,SCHED_OTHER,0,20260808,169,26.3595,26.3628,26.3202,-0.0366,18.781287,18.807608
idle,SCHED_OTHER,0,20260808,170,48.9870,48.9941,48.9841,0.0030,18.843760,18.892744
idle,SCHED_OTHER,0,20260808,171,16.2572,16.2601,16.2557,-0.0003,18.945839,18.962094
idle,SCHED_OTHER,0,20260808,172,9.9634,9.9751,9.9117,-0.0515,18.986272,18.996184
idle,SCHED_OTHER,0,20260808,173,37.6243,37.6291,37.6247,0.0047,19.053316,19.090941
idle,SCHED_OTHER,0,20260808,174,7.5579,7.5636,7.5494,-0.0086,19.139066,19.146615
idle,SCHED_OTHER,0,20260808,175,12.0800,12.0832,12.0834,0.0040,19.162738,19.174821
idle,SCHED_OTHER,0,20260808,176,49.1478,49.1506,49.1472,0.0054,19.237974,19.287121
idle,SCHED_OTHER,0,20260808,177,29.1773,29.1964,29.1708,-0.0034,19.361280,19.390451
idle,SCHED_OTHER,0,20260808,178,42.9910,43.0101,42.9949,0.0090,19.462626,19.505621
idle,SCHED_OTHER,0,20260808,179,43.9809,43.9998,43.9761,0.0004,19.540754,19.584730
idle,SCHED_OTHER,0,20260808,180,27.8839,27.8875,27.8789,-0.0021,19.678905,19.706784
idle,SCHED_OTHER,0,20260808,181,15.4914,15.4944,15.4756,-0.0147,19.720921,19.736397
idle,SCHED_OTHER,0,20260808,182,13.7549,13.7611,13.7412,-0.0129,19.827572,19.841314
idle,SCHED_OTHER,0,20260808,183,8.5707,8.5726,8.5617,-0.0090,19.917466,19.926028
idle,SCHED_OTHER,0,20260808,184,8.1267,8.1297,8.0901,-0.0367,20.014258,20.022348
idle,SCHED_OTHER,0,20260808,185,11.3669,11.3698,11.3538,-0.0126,20.066485,20.077839
idle,SCHED_OTHER,0,20260808,186,32.0744,32.0779,32.0513,-0.0196,20.132989,20.165040
idle,SCHED_OTHER,0,20260808,187,25.0029,25.0225,25.0615,0.0610,20.196186,20.221248
idle,SCHED_OTHER,0,20260808,188,41.7654,41.7839,41.7734,0.0129,20.239313,20.281086
idle,SCHED_OTHER,0,20260808,189,32.7576,32.7607,32.7459,-0.0081,20.370287,20.403033
idle,SCHED_OTHER,0,20260808,190,46.5135,46.5333,46.5320,0.0241,20.450155,20.496687
idle,SCHED_OTHER,0,20260808,191,15.3066,15.3107,15.3098,0.0042,20.521794,20.537104
idle,SCHED_OTHER,0,20260808,192,33.6571,33.6764,33.6479,-0.0055,20.592247,20.625895
idle,SCHED_OTHER,0,20260808,193,6.5452,6.5478,6.5485,0.0031,20.648012,20.654561
idle,SCHED_OTHER,0,20260808,194,35.9349,35.9387,35.9350,0.0042,20.670679,20.706614
idle,SCHED_OTHER,0,20260808,195,12.1513,12.1703,12.1608,0.0101,20.718729,20.730889
idle,SCHED_OTHER,0,20260808,196,37.7828,37.8016,37.7932,0.0147,20.811049,20.848842
idle,SCHED_OTHER,0,20260808,197,15.3057,15.3091,15.2867,-0.0180,20.945041,20.960328
idle,SCHED_OTHER,0,20260808,198,7.8705,7.8897,7.8615,-0.0090,21.001490,21.009351
idle,SCHED_OTHER,0,20260808,199,28.9200,28.9468,28.9303,0.0133,21.071491,21.100421
idle,SCHED_OTHER,0,20260808,200,22.3716,22.3901,22.3857,0.0162,21.121552,21.143938
idle,SCHED_OTHER,0,20260808,201,10.8356,10.8459,10.8306,-0.0046,21.180077,21.190908
idle,SCHED_OTHER,0,20260808,202,27.0310,27.0336,27.0301,0.0019,21.268056,21.295086
idle,SCHED_OTHER,0,20260808,203,11.6840,11.7025,11.6734,-0.0101,21.350245,21.361918
idle,SCHED_OTHER,0,20260808,204,11.3756,11.3784,11.3588,-0.0164,21.426066,21.437425
idle,SCHED_OTHER,0,20260808,205,5.5524,5.5788,5.5718,0.0190,21.478535,21.484107
idle,SCHED_OTHER,0,20260808,206,38.5834,38.5866,38.5825,0.0036,21.561267,21.599849
idle,SCHED_OTHER,0,20260808,207,18.7568,18.7752,18.7525,-0.0028,21.613982,21.632735
idle,SCHED_OTHER,0,20260808,208,20.8020,20.8357,20.8172,0.0170,21.726915,21.747733
idle,SCHED_OTHER,0,20260808,209,31.4929,31.5148,31.5114,0.0218,21.793862,21.825374
idle,SCHED_OTHER,0,20260808,210,6.1524,6.1554,6.1370,-0.0157,21.910660,21.916797
idle,SCHED_OTHER,0,20260808,211,34.3462,34.3680,34.3484,0.0060,21.959933,21.994282
idle,SCHED_OTHER,0,20260808,212,34.3418,34.3612,34.3614,0.0234,22.013537,22.047898
idle,SCHED_OTHER,0,20260808,213,24.2291,24.2329,24.2299,0.0031,22.133052,22.157282
idle,SCHED_OTHER,0,20260808,214,42.5961,42.6003,42.5889,-0.0022,22.237450,22.280039
idle,SCHED_OTHER,0,20260808,215,44.1214,44.1404,44.1304,0.0142,22.347222,22.391353
idle,SCHED_OTHER,0,20260808,216,28.9776,28.9991,28.9759,0.0013,22.404478,22.433454
idle,SCHED_OTHER,0,20260808,217,15.4681,15.4870,15.4654,-0.0016,22.527640,22.543105
idle,SCHED_OTHER,0,20260808,218,41.9709,41.9743,41.9933,0.0273,22.595217,22.637210
