condition,device,policy,priority,requested_ms,trial,host_width_ms,scope_width_ms
idle,ttlbox,SCHED_OTHER,0,50.0000,16,nan,50.1700
idle,ttlbox,SCHED_OTHER,0,50.0000,17,nan,49.5600
idle,ttlbox,SCHED_OTHER,0,50.0000,18,nan,48.5400
idle,ttlbox,SCHED_OTHER,0,50.0000,19,nan,48.7600
idle,ttlbox,SCHED_OTHER,0,50.0000,20,nan,48.7600
idle,ttlbox,SCHED_OTHER,0,50.0000,21,nan,49.4000
idle,ttlbox,SCHED_OTHER,0,50.0000,22,nan,49.3100
idle,ttlbox,SCHED_OTHER,0,50.0000,23,nan,50.1200
idle,ttlbox,SCHED_OTHER,0,50.0000,24,nan,49.7400
idle,ttlbox,SCHED_OTHER,0,50.0000,25,nan,49.4700
idle,ttlbox,SCHED_OTHER,0,50.0000,26,nan,48.6900
idle,ttlbox,SCHED_OTHER,0,50.0000,27,nan,49.7200
idle,ttlbox,SCHED_OTHER,0,50.0000,28,nan,48.5800
idle,ttlbox,SCHED_OTHER,0,50.0000,29,nan,49.6100
idle,ttlbox,SCHED_OTHER,0,50.0000,30,nan,50.1700
idle,ttlbox,SCHED_OTHER,0,50.0000,31,nan,49.6300
idle,ttlbox,SCHED_OTHER,0,50.0000,32,nan,48.7600
idle,ttlbox,SCHED_OTHER,0,50.0000,33,nan,48.2700
idle,ttlbox,SCHED_OTHER,0,50.0000,34,nan,49.8000
idle,ttlbox,SCHED_OTHER,0,50.0000,35,nan,50.1100
idle,ttlbox,SCHED_OTHER,0,50.0000,36,nan,49.6700
idle,ttlbox,SCHED_OTHER,0,50.0000,37,nan,49.4500
idle,ttlbox,SCHED_OTHER,0,50.0000,38,nan,49.3700
idle,ttlbox,SCHED_OTHER,0,50.0000,39,nan,49.2900
idle,ttlbox,SCHED_OTHER,0,50.0000,40,nan,49.6100
idle,ttlbox,SCHED_OTHER,0,50.0000,41,nan,50.0600
idle,ttlbox,SCHED_OTHER,0,50.0000,42,nan,48.7200
idle,ttlbox,SCHED_OTHER,0,50.0000,43,nan,49.6700
idle,ttlbox,SCHED_OTHER,0,50.0000,44,nan,49.3200
idle,ttlbox,SCHED_OTHER,0,50.0000,45,nan,48.3300
idle,ttlbox,SCHED_OTHER,0,50.0000,46,nan,49.7200
idle,ttlbox,SCHED_OTHER,0,50.0000,47,nan,49.5800
idle,ttlbox,SCHED_OTHER,0,50.0000,48,nan,50.2000
idle,ttlbox,SCHED_OTHER,0,50.0000,49,nan,50.1500
