condition,policy,priority,arm,delta_us
idle,SCHED_OTHER,0,dlp-first,42.8749
idle,SCHED_OTHER,0,dlp-first,41.2857
idle,SCHED_OTHER,0,dlp-first,23.9950
idle,SCHED_OTHER,0,dlp-first,30.4867
idle,SCHED_OTHER,0,dlp-first,40.5377
idle,SCHED_OTHER,0,dlp-first,36.7620
idle,SCHED_OTHER,0,dlp-first,41.2645
idle,SCHED_OTHER,0,dlp-first,38.5968
idle,SCHED_OTHER,0,dlp-first,44.2172
idle,SCHED_OTHER,0,dlp-first,38.3178
idle,SCHED_OTHER,0,dlp-first,35.9605
idle,SCHED_OTHER,0,dlp-first,54.8926
idle,SCHED_OTHER,0,dlp-first,37.9397
idle,SCHED_OTHER,0,dlp-first,38.0481
idle,SCHED_OTHER,0,dlp-first,34.5139
idle,SCHED_OTHER,0,dlp-first,103.5306
idle,SCHED_OTHER,0,dlp-first,38.9741
idle,SCHED_OTHER,0,dlp-first,27.9036
idle,SCHED_OTHER,0,dlp-first,30.1898
idle,SCHED_OTHER,0,dlp-first,46.0915
idle,SCHED_OTHER,0,dlp-first,30.6605
idle,SCHED_OTHER,0,dlp-first,43.8640
idle,SCHED_OTHER,0,dlp-first,28.3877
idle,SCHED_OTHER,0,dlp-first,46.2134
idle,SCHED_OTHER,0,dlp-first,42.4726
idle,SCHED_OTHER,0,dlp-first,26.9594
idle,SCHED_OTHER,0,dlp-first,35.5457
idle,SCHED_OTHER,0,dlp-first,37.9030
idle,SCHED_OTHER,0,dlp-first,33.7294
idle,SCHED_OTHER,0,dlp-first,38.7546
idle,SCHED_OTHER,0,dlp-first,36.8988
idle,SCHED_OTHER,0,dlp-first,54.5041
idle,SCHED_OTHER,0,dlp-first,35.5041
idle,SCHED_OTHER,0,dlp-first,35.0277
idle,SCHED_OTHER,0,dlp-first,43.6105
idle,SCHED_OTHER,0,dlp-first,46.3887
idle,SCHED_OTHER,0,dlp-first,45.6966
idle,SCHED_OTHER,0,dlp-first,28.4685
idle,SCHED_OTHER,0,dlp-first,60.8339
idle,SCHED_OTHER,0,dlp-first,45.1356
idle,SCHED_OTHER,0,dlp-first,55.9765
idle,SCHED_OTHER,0,dlp-first,40.2438
idle,SCHED_OTHER,0,dlp-first,40.3081
idle,SCHED_OTHER,0,dlp-first,45.7819
idle,SCHED_OTHER,0,dlp-first,32.9920
idle,SCHED_OTHER,0,dlp-first,35.0278
idle,SCHED_OTHER,0,dlp-first,37.1619
idle,SCHED_OTHER,0,dlp-first,41.5919
idle,SCHED_OTHER,0,dlp-first,37.0289
idle,SCHED_OTHER,0,dlp-first,63.6636
idle,SCHED_OTHER,0,dlp-first,29.7936
idle,SCHED_OTHER,0,dlp-first,36.3568
idle,SCHED_OTHER,0,dlp-first,48.1623
idle,SCHED_OTHER,0,dlp-first,26.6139
idle,SCHED_OTHER,0,dlp-first,48.0962
idle,SCHED_OTHER,0,dlp-first,48.6206
idle,SCHED_OTHER,0,dlp-first,40.0208
idle,SCHED_OTHER,0,dlp-first,28.4305
idle,SCHED_OTHER,0,dlp-first,38.7613
idle,SCHED_OTHER,0,dlp-first,36.5927
idle,SCHED_OTHER,0,dlp-first,33.0532
idle,SCHED_OTHER,0,dlp-first,32.9619
idle,SCHED_OTHER,0,dlp-first,31.1382
idle,SCHED_OTHER,0,dlp-first,39.0560
idle,SCHED_OTHER,0,dlp-first,34.1213
idle,SCHED_OTHER,0,dlp-first,32.3188
idle,SCHED_OTHER,0,dlp-first,34.5908
idle,SCHED_OTHER,0,dlp-first,28.0359
idle,SCHED_OTHER,0,dlp-first,35.7278
idle,SCHED_OTHER,0,dlp-first,41.2278
idle,SCHED_OTHER,0,dlp-first,45.3674
idle,SCHED_OTHER,0,dlp-first,48.6047
idle,SCHED_OTHER,0,dlp-first,51.9332
idle,SCHED_OTHER,0,dlp-first,60.6143
idle,SCHED_OTHER,0,dlp-first,32.0552
idle,SCHED_OTHER,0,dlp-first,36.9399
idle,SCHED_OTHER,0,dlp-first,35.5008
idle,SCHED_OTHER,0,dlp-first,38.1062
idle,SCHED_OTHER,0,dlp-first,44.3643
idle,SCHED_OTHER,0,dlp-first,36.4249
idle,SCHED_OTHER,0,dlp-first,44.6864
idle,SCHED_OTHER,0,dlp-first,46.0335
idle,SCHED_OTHER,0,dlp-first,44.1486
idle,SCHED_OTHER,0,dlp-first,15.2652
idle,SCHED_OTHER,0,dlp-first,63.1799
idle,SCHED_OTHER,0,dlp-first,59.2434
idle,SCHED_OTHER,0,dlp-first,32.9739
idle,SCHED_OTHER,0,dlp-first,37.3375
idle,SCHED_OTHER,0,dlp-first,32.4126
idle,SCHED_OTHER,0,dlp-first,36.7551
idle,SCHED_OTHER,0,dlp-first,43.6677
idle,SCHED_OTHER,0,dlp-first,32.3284
idle,SCHED_OTHER,0,dlp-first,35.9335
idle,SCHED_OTHER,0,dlp-first,46.7306
idle,SCHED_OTHER,0,dlp-first,37.9058
idle,SCHED_OTHER,0,dlp-first,41.1025
idle,SCHED_OTHER,0,dlp-first,107.7882
idle,SCHED_OTHER,0,dlp-first,55.2184
idle,SCHED_OTHER,0,dlp-first,55.5646
idle,SCHED_OTHER,0,dlp-first,40.9333
idle,SCHED_OTHER,0,dlp-first,49.2675
idle,SCHED_OTHER,0,dlp-first,53.5386
idle,SCHED_OTHER,0,dlp-first,37.2169
idle,SCHED_OTHER,0,dlp-first,41.1025
idle,SCHED_OTHER,0,dlp-first,37.6719
idle,SCHED_OTHER,0,dlp-first,40.9917
idle,SCHED_OTHER,0,dlp-first,43.3166
idle,SCHED_OTHER,0,dlp-first,59.8087
idle,SCHED_OTHER,0,dlp-first,40.1149
idle,SCHED_OTHER,0,dlp-first,50.1040
idle,SCHED_OTHER,0,dlp-first,24.5568
idle,SCHED_OTHER,0,dlp-first,46.3073
idle,SCHED_OTHER,0,dlp-first,59.7587
idle,SCHED_OTHER,0,dlp-first,43.2979
idle,SCHED_OTHER,0,dlp-first,40.3439
idle,SCHED_OTHER,0,dlp-first,45.7698
idle,SCHED_OTHER,0,dlp-first,58.5974
idle,SCHED_OTHER,0,dlp-first,50.5017
idle,SCHED_OTHER,0,dlp-first,50.2484
idle,SCHED_OTHER,0,dlp-first,32.5645
idle,SCHED_OTHER,0,dlp-first,37.1425
idle,SCHED_OTHER,0,dlp-first,57.6535
idle,SCHED_OTHER,0,dlp-first,52.5668
idle,SCHED_OTHER,0,dlp-first,61.9906
idle,SCHED_OTHER,0,dlp-first,32.5486
idle,SCHED_OTHER,0,dlp-first,39.3367
idle,SCHED_OTHER,0,dlp-first,43.3377
idle,SCHED_OTHER,0,dlp-first,20.2179
idle,SCHED_OTHER,0,dlp-first,42.8793
idle,SCHED_OTHER,0,dlp-first,37.2420
idle,SCHED_OTHER,0,dlp-first,29.6241
idle,SCHED_OTHER,0,dlp-first,37.0669
idle,SCHED_OTHER,0,dlp-first,56.6150
idle,SCHED_OTHER,0,dlp-first,47.3065
idle,SCHED_OTHER,0,dlp-first,46.3969
idle,SCHED_OTHER,0,dlp-first,51.8747
idle,SCHED_OTHER,0,dlp-first,28.8635
idle,SCHED_OTHER,0,dlp-first,26.8134
idle,SCHED_OTHER,0,dlp-first,32.6126
idle,SCHED_OTHER,0,dlp-first,39.9229
idle,SCHED_OTHER,0,dlp-first,34.6290
idle,SCHED_OTHER,0,dlp-first,45.7258
idle,SCHED_OTHER,0,dlp-first,56.7833
idle,SCHED_OTHER,0,dlp-first,39.6851
idle,SCHED_OTHER,0,dlp-first,56.9246
idle,SCHED_OTHER,0,dlp-first,35.9526
idle,SCHED_OTHER,0,dlp-first,36.4379
idle,SCHED_OTHER,0,dlp-first,108.1129
idle,SCHED_OTHER,0,dlp-first,40.9928
idle,SCHED_OTHER,0,dlp-first,25.4679
idle,SCHED_OTHER,0,dlp-first,34.6459
