condition,policy,priority,arm,delta_us
rt,SCHED_FIFO,50,dlp-first,62.5844
rt,SCHED_FIFO,50,dlp-first,49.5406
rt,SCHED_FIFO,50,dlp-first,31.2207
rt,SCHED_FIFO,50,dlp-first,28.5046
rt,SCHED_FIFO,50,dlp-first,44.5149
rt,SCHED_FIFO,50,dlp-first,41.4386
rt,SCHED_FIFO,50,dlp-first,48.1445
rt,SCHED_FIFO,50,dlp-first,38.3232
rt,SCHED_FIFO,50,dlp-first,48.4505
rt,SCHED_FIFO,50,dlp-first,45.1925
rt,SCHED_FIFO,50,dlp-first,50.8306
rt,SCHED_FIFO,50,dlp-first,37.0437
rt,SCHED_FIFO,50,dlp-first,51.3694
rt,SCHED_FIFO,50,dlp-first,47.3494
rt,SCHED_FIFO,50,dlp-first,39.9242
rt,SCHED_FIFO,50,dlp-first,59.3297
rt,SCHED_FIFO,50,dlp-first,52.9061
rt,SCHED_FIFO,50,dlp-first,41.1712
rt,SCHED_FIFO,50,dlp-first,41.6081
rt,SCHED_FIFO,50,dlp-first,53.7148
rt,SCHED_FIFO,50,dlp-first,48.1207
rt,SCHED_FIFO,50,dlp-first,48.8111
rt,SCHED_FIFO,50,dlp-first,53.5488
rt,SCHED_FIFO,50,dlp-first,39.8707
rt,SCHED_FIFO,50,dlp-first,56.1548
rt,SCHED_FIFO,50,dlp-first,53.1332
rt,SCHED_FIFO,50,dlp-first,57.4759
rt,SCHED_FIFO,50,dlp-first,52.2971
rt,SCHED_FIFO,50,dlp-first,53.2801
rt,SCHED_FIFO,50,dlp-first,48.8192
rt,SCHED_FIFO,50,dlp-first,55.1232
rt,SCHED_FIFO,50,dlp-first,55.2452
rt,SCHED_FIFO,50,dlp-first,56.1538
rt,SCHED_FIFO,50,dlp-first,43.8622
rt,SCHED_FIFO,50,dlp-first,41.3172
rt,SCHED_FIFO,50,dlp-first,52.9557
rt,SCHED_FIFO,50,dlp-first,48.4825
rt,SCHED_FIFO,50,dlp-first,39.4288
rt,SCHED_FIFO,50,dlp-first,48.9624
rt,SCHED_FIFO,50,dlp-first,39.2614
rt,SCHED_FIFO,50,dlp-first,60.9862
rt,SCHED_FIFO,50,dlp-first,41.6898
rt,SCHED_FIFO,50,dlp-first,46.8348
rt,SCHED_FIFO,50,dlp-first,42.1530
rt,SCHED_FIFO,50,dlp-first,51.9007
rt,SCHED_FIFO,50,dlp-first,46.5959
rt,SCHED_FIFO,50,dlp-first,31.8114
rt,SCHED_FIFO,50,dlp-first,38.2899
rt,SCHED_FIFO,50,dlp-first,47.3563
rt,SCHED_FIFO,50,dlp-first,39.9531
rt,SCHED_FIFO,50,dlp-first,60.6476
rt,SCHED_FIFO,50,dlp-first,60.0227
rt,SCHED_FIFO,50,dlp-first,66.1688
rt,SCHED_FIFO,50,dlp-first,52.6551
rt,SCHED_FIFO,50,dlp-first,53.4769
rt,SCHED_FIFO,50,dlp-first,37.5464
rt,SCHED_FIFO,50,dlp-first,47.0743
rt,SCHED_FIFO,50,dlp-first,41.4013
rt,SCHED_FIFO,50,dlp-first,62.1374
rt,SCHED_FIFO,50,dlp-first,28.6240
rt,SCHED_FIFO,50,dlp-first,43.8969
rt,SCHED_FIFO,50,dlp-first,59.7387
rt,SCHED_FIFO,50,dlp-first,52.7893
rt,SCHED_FIFO,50,dlp-first,62.7655
rt,SCHED_FIFO,50,dlp-first,51.5843
rt,SCHED_FIFO,50,dlp-first,47.8238
rt,SCHED_FIFO,50,dlp-first,70.7763
rt,SCHED_FIFO,50,dlp-first,56.4640
rt,SCHED_FIFO,50,dlp-first,43.0062
rt,SCHED_FIFO,50,dlp-first,43.6253
rt,SCHED_FIFO,50,dlp-first,48.1508
rt,SCHED_FIFO,50,dlp-first,60.3456
rt,SCHED_FIFO,50,dlp-first,37.9934
rt,SCHED_FIFO,50,dlp-first,42.1562
rt,SCHED_FIFO,50,dlp-first,32.9295
rt,SCHED_FIFO,50,dlp-first,52.5452
rt,SCHED_FIFO,50,dlp-first,55.7275
rt,SCHED_FIFO,50,dlp-first,53.6581
rt,SCHED_FIFO,50,dlp-first,44.2360
rt,SCHED_FIFO,50,dlp-first,55.1463
rt,SCHED_FIFO,50,dlp-first,39.5848
rt,SCHED_FIFO,50,dlp-first,43.6840
rt,SCHED_FIFO,50,dlp-first,55.7156
rt,SCHED_FIFO,50,dlp-first,46.5781
rt,SCHED_FIFO,50,dlp-first,50.3062
rt,SCHED_FIFO,50,dlp-first,39.9531
rt,SCHED_FIFO,50,dlp-first,52.9336
rt,SCHED_FIFO,50,dlp-first,45.0946
rt,SCHED_FIFO,50,dlp-first,40.5845
rt,SCHED_FIFO,50,dlp-first,54.9440
rt,SCHED_FIFO,50,dlp-first,52.1818
rt,SCHED_FIFO,50,dlp-first,28.0013
rt,SCHED_FIFO,50,dlp-first,46.4867
rt,SCHED_FIFO,50,dlp-first,43.1808
rt,SCHED_FIFO,50,dlp-first,51.8296
rt,SCHED_FIFO,50,dlp-first,45.8692
rt,SCHED_FIFO,50,dlp-first,48.7503
rt,SCHED_FIFO,50,dlp-first,41.8223
rt,SCHED_FIFO,50,dlp-first,47.7987
rt,SCHED_FIFO,50,dlp-first,41.0487
rt,SCHED_FIFO,50,dlp-first,62.1142
rt,SCHED_FIFO,50,dlp-first,39.5978
rt,SCHED_FIFO,50,dlp-first,44.0263
rt,SCHED_FIFO,50,dlp-first,44.6493
rt,SCHED_FIFO,50,dlp-first,41.2856
rt,SCHED_FIFO,50,dlp-first,34.5876
rt,SCHED_FIFO,50,dlp-first,49.3475
rt,SCHED_FIFO,50,dlp-first,44.0953
rt,SCHED_FIFO,50,dlp-first,44.2662
rt,SCHED_FIFO,50,dlp-first,51.6967
rt,SCHED_FIFO,50,dlp-first,42.2191
rt,SCHED_FIFO,50,dlp-first,44.8621
rt,SCHED_FIFO,50,dlp-first,45.0299
rt,SCHED_FIFO,50,dlp-first,51.2169
rt,SCHED_FIFO,50,dlp-first,50.6932
rt,SCHED_FIFO,50,dlp-first,51.8626
rt,SCHED_FIFO,50,dlp-first,108.0474
rt,SCHED_FIFO,50,dlp-first,49.1145
rt,SCHED_FIFO,50,dlp-first,75.6023
rt,SCHED_FIFO,50,dlp-first,62.3160
rt,SCHED_FIFO,50,dlp-first,48.1301
rt,SCHED_FIFO,50,dlp-first,44.8903
rt,SCHED_FIFO,50,dlp-first,56.0025
rt,SCHED_FIFO,50,dlp-first,39.4527
rt,SCHED_FIFO,50,dlp-first,47.8711
rt,SCHED_FIFO,50,dlp-first,34.3975
rt,SCHED_FIFO,50,dlp-first,47.3204
rt,SCHED_FIFO,50,dlp-first,54.8786
rt,SCHED_FIFO,50,dlp-first,51.5519
rt,SCHED_FIFO,50,dlp-first,21.1778
rt,SCHED_FIFO,50,dlp-first,43.6911
rt,SCHED_FIFO,50,dlp-first,47.3823
rt,SCHED_FIFO,50,dlp-first,46.3514
rt,SCHED_FIFO,50,dlp-first,49.6063
rt,SCHED_FIFO,50,dlp-first,29.0245
rt,SCHED_FIFO,50,dlp-first,42.4700
rt,SCHED_FIFO,50,dlp-first,39.4454
rt,SCHED_FIFO,50,dlp-first,51.3992
rt,SCHED_FIFO,50,dlp-first,47.2356
rt,SCHED_FIFO,50,dlp-first,59.4123
rt,SCHED_FIFO,50,dlp-first,49.2456
rt,SCHED_FIFO,50,dlp-first,44.2713
rt,SCHED_FIFO,50,dlp-first,56.4404
rt,SCHED_FIFO,50,dlp-first,29.9642
rt,SCHED_FIFO,50,dlp-first,58.0787
rt,SCHED_FIFO,50,dlp-first,68.6606
rt,SCHED_FIFO,50,dlp-first,37.1045
rt,SCHED_FIFO,50,dlp-first,42.1378
rt,SCHED_FIFO,50,dlp-first,52.6075
rt,SCHED_FIFO,50,dlp-first,40.9064
rt,SCHED_FIFO,50,dlp-first,37.7129
rt,SCHED_FIFO,50,dlp-first,40.5041
rt,SCHED_FIFO,50,dlp-first,52.9018
rt,SCHED_FIFO,50,dlp-first,26.4844
rt,SCHED_FIFO,50,dlp-first,47.9844
rt,SCHED_FIFO,50,dlp-first,26.0294
rt,SCHED_FIFO,50,dlp-first,25.2101
rt,SCHED_FIFO,50,dlp-first,40.8846
rt,SCHED_FIFO,50,dlp-first,47.9163
rt,SCHED_FIFO,50,dlp-first,52.4164
rt,SCHED_FIFO,50,dlp-first,41.1403
rt,SCHED_FIFO,50,dlp-first,47.2979
rt,SCHED_FIFO,50,dlp-first,61.5941
rt,SCHED_FIFO,50,dlp-first,40.9488
rt,SCHED_FIFO,50,dlp-first,39.8418
rt,SCHED_FIFO,50,dlp-first,44.5949
rt,SCHED_FIFO,50,dlp-first,46.2457
rt,SCHED_FIFO,50,dlp-first,44.8969
rt,SCHED_FIFO,50,dlp-first,36.5432
rt,SCHED_FIFO,50,dlp-first,48.7283
rt,SCHED_FIFO,50,dlp-first,36.6484
rt,SCHED_FIFO,50,dlp-first,43.2748
rt,SCHED_FIFO,50,dlp-first,56.1296
rt,SCHED_FIFO,50,dlp-first,45.7662
rt,SCHED_FIFO,50,dlp-first,47.5833
rt,SCHED_FIFO,50,dlp-first,46.6104
rt,SCHED_FIFO,50,dlp-first,44.2375
rt,SCHED_FIFO,50,dlp-first,51.1121
rt,SCHED_FIFO,50,dlp-first,119.0058
rt,SCHED_FIFO,50,dlp-first,47.5368
rt,SCHED_FIFO,50,dlp-first,57.0498
rt,SCHED_FIFO,50,dlp-first,33.7622
rt,SCHED_FIFO,50,dlp-first,27.8751
rt,SCHED_FIFO,50,dlp-first,39.8734
rt,SCHED_FIFO,50,dlp-first,49.4977
rt,SCHED_FIFO,50,dlp-first,46.9673
rt,SCHED_FIFO,50,dlp-first,32.5852
rt,SCHED_FIFO,50,dlp-first,51.9436
rt,SCHED_FIFO,50,dlp-first,60.1691
rt,SCHED_FIFO,50,dlp-first,48.5985
rt,SCHED_FIFO,50,dlp-first,52.9210
rt,SCHED_FIFO,50,dlp-first,55.3011
rt,SCHED_FIFO,50,dlp-first,44.3502
rt,SCHED_FIFO,50,dlp-first,44.0425
rt,SCHED_FIFO,50,dlp-first,51.6859
rt,SCHED_FIFO,50,dlp-first,48.4022
rt,SCHED_FIFO,50,dlp-first,43.5426
rt,SCHED_FIFO,50,dlp-first,98.5573
rt,SCHED_FIFO,50,dlp-first,54.9906
rt,SCHED_FIFO,50,dlp-first,44.4559
rt,SCHED_FIFO,50,dlp-first,56.8528
rt,SCHED_FIFO,50,dlp-first,45.0513
rt,SCHED_FIFO,50,dlp-first,49.4499
rt,SCHED_FIFO,50,dlp-first,47.0221
rt,SCHED_FIFO,50,dlp-first,37.0443
rt,SCHED_FIFO,50,dlp-first,42.9534
rt,SCHED_FIFO,50,dlp-first,55.1036
rt,SCHED_FIFO,50,dlp-first,52.5009
rt,SCHED_FIFO,50,dlp-first,33.5703
rt,SCHED_FIFO,50,dlp-first,44.0256
rt,SCHED_FIFO,50,dlp-first,43.3958
rt,SCHED_FIFO,50,dlp-first,53.9429
rt,SCHED_FIFO,50,dlp-first,38.0863
rt,SCHED_FIFO,50,dlp-first,48.0760
rt,SCHED_FIFO,50,dlp-first,53.0717
rt,SCHED_FIFO,50,dlp-first,37.9392
rt,SCHED_FIFO,50,dlp-first,51.1211
rt,SCHED_FIFO,50,dlp-first,69.8197
rt,SCHED_FIFO,50,dlp-first,45.1844
rt,SCHED_FIFO,50,dlp-first,61.0510
rt,SCHED_FIFO,50,dlp-first,48.7717
rt,SCHED_FIFO,50,dlp-first,55.7293
rt,SCHED_FIFO,50,dlp-first,41.6682
rt,SCHED_FIFO,50,dlp-first,44.2635
rt,SCHED_FIFO,50,dlp-first,54.8085
rt,SCHED_FIFO,50,dlp-first,29.9082
rt,SCHED_FIFO,50,dlp-first,23.5536
rt,SCHED_FIFO,50,dlp-first,54.5349
rt,SCHED_FIFO,50,dlp-first,54.0820
rt,SCHED_FIFO,50,dlp-first,48.7578
rt,SCHED_FIFO,50,dlp-first,52.0002
rt,SCHED_FIFO,50,dlp-first,43.7162
